school_no, longitude, latitude, person, sa2_name_2016, sa4_name_2016, mb_category_name_2016, sa3_name_2016, mb_code_2016, Connectivity, Area, Connections, LUM_Residential, LUM_Parkland, LUM_Education, LUM_Commercial, LUM_Industrial, LUM_Hospital/Medical, LUM_Transport, LandUseMixMeasure, AverageDensity, Connectivity_ZScore, AverageDensity_ZScore, LandUseMixMeasure_ZScore, SumZScore
2107,144.9052,-37.86318,10,"Williamstown","Melbourne - West","Industrial","Hobsons Bay","20285521000",88.7996366455328,529281.4450087551,47,306645.08432474086,57625.28984903671,20794.25573177117,10666.99984856695,112374.08198756157,0.0,10188.299627520784,0.6024842713917327,44.097983369085235,-0.40331701209183524,-0.5428883965763496,1.2640076199739847,0.3178022113057999
2105,145.03148,-37.80222,159,"Kew","Melbourne - Inner East","Residential","Boroondara","20074630000",62.17127319350058,739891.5550085416,46,651184.3494020149,0.0,14168.676855461264,66696.23724532434,0.0,7842.291505612433,0.0,0.23292772108326792,49.03369689120185,-0.9817003901257731,-0.42491543032598916,-0.935294919348366,-2.341910739800128
2100,144.98926,-37.81954,7,"East Melbourne","Melbourne - Inner","Parkland","Melbourne City","20668110000",182.78996643788395,815143.2100111112,149,376741.00445941795,332142.0932817075,0.0,79710.23187483012,0.0,12820.509046514519,13729.371348858345,0.5570531450627451,85.93552859270011,1.6382070397242412,0.45710872411286657,0.9936381963601495,3.088953960197257
2079,144.95494,-37.80384,49,"North Melbourne","Melbourne - Inner","Commercial","Melbourne City","20398673000",239.93985261219254,812703.6750129731,195,203782.2259093019,11139.459582880543,3624.361158841695,567082.3227495549,0.0,27075.305612296932,0.0,0.40815373129851823,152.36561254931576,2.879535455542788,2.0449144218109883,0.10750897331719748,5.031958850670974
2077,145.02567,-37.88817,114,"Caulfield - South","Melbourne - Inner South","Residential","Glen Eira","20192220000",68.35348507909836,599823.1100075581,41,518562.94531238003,0.0,5000.760454316158,59868.887608722434,0.0,7518.533329227939,7879.440811558394,0.2604244996135388,46.30865206536685,-0.8474191902858064,-0.49004919869168,-0.771656269744314,-2.1091246587218
2072,144.9771,-37.83359,0,"South Yarra - West","Melbourne - Inner","Education","Melbourne City","20400190000",186.47366847268125,681061.3050099658,127,180731.39766576313,401813.3022148489,67037.1335884741,31479.47154088001,0.0,0.0,0.0,0.5311958564204097,107.73668865839304,1.7182191677844039,0.9781980274372928,0.8397564683171419,3.5361736635388388
2047,144.98277,-37.77883,0,"Fitzroy North","Melbourne - Inner","Education","Yarra","20636600000",95.20165896524658,693265.2300113103,66,586954.8879056245,44598.025087265836,15206.238313056321,46506.07870544559,0.0,0.0,0.0,0.29933078926456025,73.98154155274607,-0.26426140312829854,0.1713856359914599,-0.5401174117436082,-0.6329931788804468
2036,145.00824,-37.81585,11,"Richmond (Vic.)","Melbourne - Inner","Education","Yarra","20643340000",127.10174778422495,763168.1050104254,97,452412.5654621194,8996.331020023208,34550.56969446875,119684.14489975506,147524.49393403548,0.0,0.0,0.5707718076745675,84.14539429550922,0.42862688360173956,0.41432110038231657,1.075280612096263,1.9182285960803191
2024,144.97227,-37.8103,21,"Melbourne","Melbourne - Inner","Commercial","Melbourne City","20394030000",251.63872259357834,770946.5300113185,194,83907.14683864723,124757.5614658003,0.0,517586.37474875135,0.0,44695.4469582485,0.0,0.49781768689766176,325.60500018085963,3.1336416439010275,6.18566617709618,0.6411165228797306,9.960424343876937
2019,144.98349,-37.87323,0,"Elwood","Melbourne - Inner","Education","Port Phillip","20528520000",86.31124793157359,637228.6500086671,55,553971.3029686412,53018.94966972238,6254.04858189635,23984.348788458272,0.0,0.0,0.0,0.2556274277476279,90.96328207390715,-0.4573662469550245,0.5772816209181112,-0.8002045726419449,-0.6802891986788582
2016,144.9686,-37.81069,3,"Melbourne","Melbourne - Inner","Commercial","Melbourne City","20393841000",264.7710744577863,766700.0650116908,203,88485.2930870384,7632.369408567727,15914.083977637172,654668.3185384708,0.0,0.0,0.0,0.2622958558741787,362.9313734011163,3.418883883681678,7.07783768349133,-0.7605194665336369,9.736202100639371
2010,144.94273,-37.74119,0,"Pascoe Vale South","Melbourne - Inner","Education","Brunswick - Coburg","20466830000",58.68296912494362,766832.365011886,45,731603.2031153848,0.0,10683.67131836433,24545.490578248864,0.0,0.0,0.0,0.11027014413942816,36.20717059781797,-1.057468361913297,-0.7314938706544765,-1.665253893731439,-3.4542161262992126
1999,144.99768,-37.83762,0,"South Yarra - East","Melbourne - Inner","Commercial","Stonnington - West","20549132000",186.99418261869573,497341.675006214,93,241211.68649535126,55683.58934867056,11332.650996720418,178622.85318222526,0.0,0.0,10490.89498328243,0.5814458662831679,153.0655999971844,1.7295250345767292,2.061645456785577,1.1388040002845543,4.929974491646861
1997,144.96716,-37.80142,5,"Carlton","Melbourne - Inner","Commercial","Melbourne City","20399960000",222.7170602552528,826160.3300129782,184,255839.83233734724,141360.72653784172,84504.66069549162,326667.51242610055,0.0,17787.59801628301,0.0,0.6926414775425916,150.9912902479248,2.505446494329377,2.012065497789648,1.8005505990127495,6.318062591131774
1981,145.04517,-37.84322,0,"Hawthorn East","Melbourne - Inner East","Commercial","Boroondara","20071601000",90.97522073663517,307776.1150045176,28,91311.7331648618,53342.30936402455,0.0,146200.81271651783,0.0,0.0,15219.858152177956,0.5999706995497798,46.52961595272934,-0.35606207364714276,-0.48476774037576376,1.2490488675715123,0.4082190535486059
1972,145.03622,-37.73395,3,"Preston - East","Melbourne - North East","Education","Darebin - North","20154500000",106.55762310356346,328460.78000429366,35,179183.07859629503,89121.7244693596,31458.54603420873,0.0,13336.666091759653,0.0,0.0,0.5356713872215431,54.049990298102585,-0.01760332701394724,-0.30501645115257353,0.8663912181207435,0.5437714399542227
1952,145.03133,-37.82708,0,"Hawthorn","Melbourne - Inner East","Education","Boroondara","20067490000",66.80170161778925,568847.7850073302,38,517853.8423441791,18796.408414598554,15259.503464941168,11930.608549449293,0.0,5007.422234125435,0.0,0.21478490682732992,83.33626088386426,-0.8811248200721035,0.39498126871739137,-1.0432663175829062,-1.5294098689376183
1941,144.9548,-37.83616,61,"South Melbourne","Melbourne - Inner","Residential","Port Phillip","20532510000",149.82155129348988,800952.8600122984,120,602422.9467694534,65061.77039632946,11566.442837065086,95832.66189265074,12612.337072151193,0.0,13456.701044638641,0.445765053271893,56.53025218603911,0.9221140904151605,-0.245733461836753,0.33134122809463074,1.0077218566730384
1924,145.03616,-37.78043,0,"Yarra - North","Melbourne - Inner","Education","Yarra","20639390000",82.40583588019709,400457.07500590035,33,347752.6572238359,33222.3978127133,19482.01996933247,0.0,0.0,0.0,0.0,0.24468646710164652,30.344042589727103,-0.5421940441630126,-0.8716338118242032,-0.8653163464996891,-2.279144202486905
1905,145.00522,-37.80366,66,"Abbotsford","Melbourne - Inner","Education","Yarra","20637690000",131.74359706902118,242896.0550032274,32,65335.687017454264,72260.58455918162,85455.57926210907,0.0,19844.204164455914,0.0,0.0,0.6608888679257923,57.378177794298466,0.5294505213180094,-0.2254664226907897,1.6115846751181553,1.915568773745375
1874,144.96613,-37.73633,0,"Coburg","Melbourne - Inner","Education","Brunswick - Coburg","20471878000",91.83155251353536,598922.6850095273,55,419543.9327472293,31024.311702879262,27383.83835701691,51600.812688401085,68281.99902412621,0.0,0.0,0.5152100146514933,38.46067224807187,-0.3374620546586105,-0.6776308834816457,0.7446216307226321,-0.27047130741762415
1838,145.03604,-37.80551,0,"Kew","Melbourne - Inner East","Education","Boroondara","20075320000",72.82510481018748,672844.8950085877,49,475440.6112748045,46325.387611155515,36550.03225351491,114528.86386915075,0.0,0.0,0.0,0.4569825160969579,51.114516381791866,-0.7502930364382573,-0.3751798760973076,0.398098519922707,-0.727374392612858
