,school_no, longitude, latitude, person, sa2_name_2016, sa4_name_2016, mb_category_name_2016, sa3_name_2016, mb_code_2016, Connectivity, Area, Connections, LUM_Residential, LUM_Parkland, LUM_Education, LUM_Commercial, LUM_Industrial, LUM_Hospital/Medical, LUM_Transport, LandUseMixMeasure, AverageDensity, Connectivity_ZScore, AverageDensity_ZScore, LandUseMixMeasure_ZScore, SumZScore
0,2107,144.9052,-37.86318,10,Williamstown,Melbourne - West,Industrial,Hobsons Bay,20285521000,88.7996366455,529281.445009,47,306645.084325,57625.289849,20794.2557318,10666.9998486,112374.081988,0.0,10188.2996275,0.602484271392,44.0979833691,-0.403317012092,-0.542888396576,1.26400761997,0.317802211306
1,2105,145.03148,-37.80222,159,Kew,Melbourne - Inner East,Residential,Boroondara,20074630000,62.1712731935,739891.555009,46,651184.349402,0.0,14168.6768555,66696.2372453,0.0,7842.29150561,0.0,0.232927721083,49.0336968912,-0.981700390126,-0.424915430326,-0.935294919348,-2.3419107398
2,2100,144.98926,-37.81954,7,East Melbourne,Melbourne - Inner,Parkland,Melbourne City,20668110000,182.789966438,815143.210011,149,376741.004459,332142.093282,0.0,79710.2318748,0.0,12820.5090465,13729.3713489,0.557053145063,85.9355285927,1.63820703972,0.457108724113,0.99363819636,3.0889539602
3,2079,144.95494,-37.80384,49,North Melbourne,Melbourne - Inner,Commercial,Melbourne City,20398673000,239.939852612,812703.675013,195,203782.225909,11139.4595829,3624.36115884,567082.32275,0.0,27075.3056123,0.0,0.408153731299,152.365612549,2.87953545554,2.04491442181,0.107508973317,5.03195885067
4,2077,145.02567,-37.88817,114,Caulfield - South,Melbourne - Inner South,Residential,Glen Eira,20192220000,68.3534850791,599823.110008,41,518562.945312,0.0,5000.76045432,59868.8876087,0.0,7518.53332923,7879.44081156,0.260424499614,46.3086520654,-0.847419190286,-0.490049198692,-0.771656269744,-2.10912465872
5,2072,144.9771,-37.83359,0,South Yarra - West,Melbourne - Inner,Education,Melbourne City,20400190000,186.473668473,681061.30501,127,180731.397666,401813.302215,67037.1335885,31479.4715409,0.0,0.0,0.0,0.53119585642,107.736688658,1.71821916778,0.978198027437,0.839756468317,3.53617366354
6,2047,144.98277,-37.77883,0,Fitzroy North,Melbourne - Inner,Education,Yarra,20636600000,95.2016589652,693265.230011,66,586954.887906,44598.0250873,15206.2383131,46506.0787054,0.0,0.0,0.0,0.299330789265,73.9815415527,-0.264261403128,0.171385635991,-0.540117411744,-0.63299317888
7,2036,145.00824,-37.81585,11,Richmond (Vic.),Melbourne - Inner,Education,Yarra,20643340000,127.101747784,763168.10501,97,452412.565462,8996.33102002,34550.5696945,119684.1449,147524.493934,0.0,0.0,0.570771807675,84.1453942955,0.428626883602,0.414321100382,1.0752806121,1.91822859608
8,2024,144.97227,-37.8103,21,Melbourne,Melbourne - Inner,Commercial,Melbourne City,20394030000,251.638722594,770946.530011,194,83907.1468386,124757.561466,0.0,517586.374749,0.0,44695.4469582,0.0,0.497817686898,325.605000181,3.1336416439,6.1856661771,0.64111652288,9.96042434388
9,2019,144.98349,-37.87323,0,Elwood,Melbourne - Inner,Education,Port Phillip,20528520000,86.3112479316,637228.650009,55,553971.302969,53018.9496697,6254.0485819,23984.3487885,0.0,0.0,0.0,0.255627427748,90.9632820739,-0.457366246955,0.577281620918,-0.800204572642,-0.680289198679
10,2016,144.9686,-37.81069,3,Melbourne,Melbourne - Inner,Commercial,Melbourne City,20393841000,264.771074458,766700.065012,203,88485.293087,7632.36940857,15914.0839776,654668.318538,0.0,0.0,0.0,0.262295855874,362.931373401,3.41888388368,7.07783768349,-0.760519466534,9.73620210064
11,2010,144.94273,-37.74119,0,Pascoe Vale South,Melbourne - Inner,Education,Brunswick - Coburg,20466830000,58.6829691249,766832.365012,45,731603.203115,0.0,10683.6713184,24545.4905782,0.0,0.0,0.0,0.110270144139,36.2071705978,-1.05746836191,-0.731493870654,-1.66525389373,-3.4542161263
12,1999,144.99768,-37.83762,0,South Yarra - East,Melbourne - Inner,Commercial,Stonnington - West,20549132000,186.994182619,497341.675006,93,241211.686495,55683.5893487,11332.6509967,178622.853182,0.0,0.0,10490.8949833,0.581445866283,153.065599997,1.72952503458,2.06164545679,1.13880400028,4.92997449165
13,1997,144.96716,-37.80142,5,Carlton,Melbourne - Inner,Commercial,Melbourne City,20399960000,222.717060255,826160.330013,184,255839.832337,141360.726538,84504.6606955,326667.512426,0.0,17787.5980163,0.0,0.692641477543,150.991290248,2.50544649433,2.01206549779,1.80055059901,6.31806259113
14,1981,145.04517,-37.84322,0,Hawthorn East,Melbourne - Inner East,Commercial,Boroondara,20071601000,90.9752207366,307776.115005,28,91311.7331649,53342.309364,0.0,146200.812717,0.0,0.0,15219.8581522,0.59997069955,46.5296159527,-0.356062073647,-0.484767740376,1.24904886757,0.408219053549
15,1972,145.03622,-37.73395,3,Preston - East,Melbourne - North East,Education,Darebin - North,20154500000,106.557623104,328460.780004,35,179183.078596,89121.7244694,31458.5460342,0.0,13336.6660918,0.0,0.0,0.535671387222,54.0499902981,-0.0176033270139,-0.305016451153,0.866391218121,0.543771439954
16,1952,145.03133,-37.82708,0,Hawthorn,Melbourne - Inner East,Education,Boroondara,20067490000,66.8017016178,568847.785007,38,517853.842344,18796.4084146,15259.5034649,11930.6085494,0.0,5007.42223413,0.0,0.214784906827,83.3362608839,-0.881124820072,0.394981268717,-1.04326631758,-1.52940986894
17,1941,144.9548,-37.83616,61,South Melbourne,Melbourne - Inner,Residential,Port Phillip,20532510000,149.821551293,800952.860012,120,602422.946769,65061.7703963,11566.4428371,95832.6618927,12612.3370722,0.0,13456.7010446,0.445765053272,56.530252186,0.922114090415,-0.245733461837,0.331341228095,1.00772185667
18,1924,145.03616,-37.78043,0,Yarra - North,Melbourne - Inner,Education,Yarra,20639390000,82.4058358802,400457.075006,33,347752.657224,33222.3978127,19482.0199693,0.0,0.0,0.0,0.0,0.244686467102,30.3440425897,-0.542194044163,-0.871633811824,-0.8653163465,-2.27914420249
19,1905,145.00522,-37.80366,66,Abbotsford,Melbourne - Inner,Education,Yarra,20637690000,131.743597069,242896.055003,32,65335.6870175,72260.5845592,85455.5792621,0.0,19844.2041645,0.0,0.0,0.660888867926,57.3781777943,0.529450521318,-0.225466422691,1.61158467512,1.91556877375
20,1874,144.96613,-37.73633,0,Coburg,Melbourne - Inner,Education,Brunswick - Coburg,20471878000,91.8315525135,598922.68501,55,419543.932747,31024.3117029,27383.838357,51600.8126884,68281.9990241,0.0,0.0,0.515210014651,38.4606722481,-0.337462054659,-0.677630883482,0.744621630723,-0.270471307418
