 sa2_name_2016, SumZScore
Abbotsford,1.85442536431
Albert Park,1.6937984581
Alphington - Fairfield,-1.69176034787
Armadale,-1.60757399193
Ascot Vale,-1.22096748605
Brighton (Vic.),-1.22205369312
Brunswick,0.14448226636
Brunswick East,-0.722364525054
Brunswick West,-1.64496814956
Carlton,4.73614852238
Carlton North - Princes Hill,-0.142312864521
Caulfield - North,-1.89107375207
Caulfield - South,-2.13943002837
Coburg,-1.3102100436
Collingwood,2.4985109714
East Melbourne,3.0889539602
Elsternwick,-1.34050070016
Elwood,-0.706121725748
Essendon - Aberfeldie,-2.44630454682
Fitzroy,2.66223163867
Fitzroy North,0.548223197592
Flemington,0.517616407377
Footscray,1.35445298502
Hawthorn,0.101250603716
Hawthorn East,0.0728621390833
Heidelberg West,0.0913681384514
Ivanhoe,-1.32575651952
Kensington (Vic.),1.09216517416
Kew,-1.85061401559
Malvern - Glen Iris,-0.719101101674
Maribyrnong,-1.78925855482
Melbourne,9.84831322226
Moonee Ponds,-1.04722353882
Newport,-2.04834899131
Niddrie - Essendon West,-3.37149872316
North Melbourne,3.5927925244
Northcote,-0.723579216079
Parkville,4.25369368543
Pascoe Vale South,-2.15367095149
Port Melbourne,1.61769862719
Prahran - Windsor,1.18562319545
Preston - East,0.101816208127
Preston - West,-2.35382230547
Richmond (Vic.),2.20636691498
South Melbourne,1.747403111
South Yarra - East,5.0057459303
South Yarra - West,2.52859839741
Southbank,9.65381632292
St Kilda,1.21968821752
St Kilda East,1.42933951278
Strathmore,-1.42267692666
Thornbury,-2.00486221414
Toorak,-2.14450924402
Williamstown,-0.661687776654
Yarra - North,-0.288514619478
Yarraville,-1.42266664761
